Location,Year,Month,average_temp,Season
Adelaide,2015,December,25.28548387096774,Summer
Adelaide,2016,January,24.662903225806453,Summer
Adelaide,2016,February,22.829310344827586,Summer
Adelaide,2016,March,22.730645161290322,Autumn
Adelaide,2016,April,18.708333333333332,Autumn
Adelaide,2016,May,16.09193548387097,Autumn
Adelaide,2016,June,12.466666666666667,Winter
Adelaide,2016,July,11.696774193548388,Winter
Adelaide,2016,August,12.696774193548388,Winter
Adelaide,2016,September,13.241666666666667,Spring
Adelaide,2016,October,15.790322580645162,Spring
Adelaide,2016,November,18.413333333333334,Spring
Adelaide,2016,December,22.025806451612905,Summer
Adelaide,2017,January,24.41774193548387,Summer
Adelaide,2017,February,22.84464285714286,Summer
Adelaide,2017,March,23.337096774193547,Autumn
Adelaide,2017,April,18.335,Autumn
Adelaide,2017,May,14.290322580645162,Autumn
Adelaide,2017,June,11.339583333333334,Winter
Albany,2008,December,17.61,Summer
Albany,2009,January,19.861666666666668,Summer
Albany,2009,February,20.15,Summer
Albany,2009,March,18.433870967741935,Autumn
Albany,2009,April,17.461666666666666,Autumn
Albany,2009,May,15.417741935483871,Autumn
Albany,2009,June,13.321666666666667,Winter
Albany,2009,July,12.920967741935483,Winter
Albany,2009,August,12.988709677419354,Winter
Albany,2009,September,12.568333333333333,Spring
Albany,2009,October,15.329032258064517,Spring
Albany,2009,November,17.3,Spring
Albany,2009,December,17.864516129032257,Summer
Albany,2010,January,19.703225806451613,Summer
Albany,2010,February,20.30892857142857,Summer
Albany,2010,March,19.85967741935484,Autumn
Albany,2010,April,16.97833333333333,Autumn
Albany,2010,May,15.064516129032258,Autumn
Albany,2010,June,13.283333333333333,Winter
Albany,2010,July,12.435483870967742,Winter
Albany,2010,August,12.838709677419354,Winter
Albany,2010,September,13.653333333333334,Spring
Albany,2010,October,15.380645161290323,Spring
Albany,2010,November,18.058333333333334,Spring
Albany,2010,December,17.925806451612903,Summer
Albany,2011,January,20.45806451612903,Summer
Albany,2011,February,20.2875,Summer
Albany,2011,March,19.893548387096775,Autumn
Albany,2011,April,15.91483870967742,Autumn
Albany,2011,May,16.233870967741936,Autumn
Albany,2011,June,14.636666666666667,Winter
Albany,2011,July,12.320967741935483,Winter
Albany,2011,August,12.985483870967743,Winter
Albany,2011,September,13.843333333333334,Spring
Albany,2011,October,15.561290322580646,Spring
Albany,2011,November,17.508333333333333,Spring
Albany,2011,December,19.045161290322582,Summer
Albany,2012,January,20.425,Summer
Albany,2012,February,20.067241379310346,Summer
Albany,2012,March,19.993548387096773,Autumn
Albany,2012,April,18.801785714285714,Autumn
Albany,2012,May,15.741935483870968,Autumn
Albany,2012,June,14.075000000000001,Winter
Albany,2012,July,13.191935483870967,Winter
Albany,2012,August,13.324193548387097,Winter
Albany,2012,September,14.241666666666667,Spring
Albany,2012,October,16.79193548387097,Spring
Albany,2012,November,17.108620689655172,Spring
Albany,2012,December,21.385775862068964,Summer
Albany,2012,December,21.385775862068964,Summer
Albany,2013,January,20.798333333333332,Summer
Albany,2013,February,16.638666666666666,Summer
Albany,2013,March,19.08103448275862,Autumn
Albany,2013,April,18.883333333333333,Autumn
Albany,2013,May,15.575806451612904,Autumn
Albany,2013,June,13.978333333333333,Winter
Albany,2013,July,13.253225806451614,Winter
Albany,2013,August,14.317741935483872,Winter
Albany,2013,September,14.621666666666666,Spring
Albany,2013,October,15.345161290322581,Spring
Albany,2013,November,17.705,Spring
Albany,2013,December,18,Summer
Albany,2014,January,20.301666666666666,Summer
Albany,2014,February,19.57777777777778,Summer
Albany,2014,March,19.27741935483871,Autumn
Albany,2014,April,17.736538461538462,Autumn
Albany,2014,May,16.101612903225806,Autumn
Albany,2014,June,14.646666666666667,Winter
Albany,2014,July,13.205,Winter
Albany,2014,August,14.248387096774193,Winter
Albany,2014,September,15.226666666666667,Spring
Albany,2014,October,16.030645161290323,Spring
Albany,2014,November,17.093333333333334,Spring
Albany,2014,December,17.716666666666665,Summer
Albany,2015,January,20.25,Summer
Albany,2015,February,20.82857142857143,Summer
Albany,2015,March,19.143548387096775,Autumn
Albany,2015,April,17.382142857142856,Autumn
Albany,2015,May,14.706896551724139,Autumn
Albany,2015,June,14.86,Winter
Albany,2015,July,13.290000000000001,Winter
Albany,2015,August,13.403333333333334,Winter
Albany,2015,September,14.620000000000001,Spring
Albany,2015,October,16.683333333333334,Spring
Albany,2015,November,17.585,Spring
Albany,2015,December,18.233333333333334,Summer
Albany,2016,January,20.189285714285713,Summer
Albany,2016,February,20.16896551724138,Summer
Albany,2016,March,19.660344827586208,Autumn
Albany,2016,April,17.583333333333332,Autumn
Albany,2016,May,14.82741935483871,Autumn
Albany,2016,June,13.235,Winter
Albany,2016,July,12.891666666666666,Winter
Albany,2016,August,12.59047619047619,Winter
Albany,2016,September,12.466666666666667,Spring
Albany,2016,October,14.232758620689655,Spring
Albany,2016,November,16.489285714285714,Spring
Albany,2016,December,17.482,Summer
Albany,2017,January,18.25625,Summer
Albany,2017,February,18.913999999999998,Summer
Albany,2017,March,19.002083333333335,Autumn
Albany,2017,April,17.25,Autumn
Albany,2017,May,15.806896551724138,Autumn
Albany,2017,June,14.805555555555555,Winter
Albury,2008,December,20.401612903225807,Summer
Albury,2009,January,25.48548387096774,Summer
Albury,2009,February,25.439285714285713,Summer
Albury,2009,March,20.53548387096774,Autumn
Albury,2009,April,15.41,Autumn
Albury,2009,May,11.716129032258065,Autumn
Albury,2009,June,9.206666666666667,Winter
Albury,2009,July,8.201612903225806,Winter
Albury,2009,August,9.932258064516128,Winter
Albury,2009,September,11.951785714285714,Spring
Albury,2009,October,14.595161290322581,Spring
Albury,2009,November,22.803333333333335,Spring
Albury,2009,December,22.641935483870967,Summer
Albury,2010,January,25.780645161290323,Summer
Albury,2010,February,25.074,Summer
Albury,2010,March,20.775925925925925,Autumn
Albury,2010,April,16.338333333333335,Autumn
Albury,2010,May,11.580645161290322,Autumn
Albury,2010,June,8.455,Winter
Albury,2010,July,7.874193548387097,Winter
Albury,2010,August,8.32,Winter
Albury,2010,September,11.016666666666667,Spring
Albury,2010,October,15,Spring
Albury,2010,November,19.258333333333333,Spring
Albury,2010,December,20.793548387096774,Summer
Albury,2011,January,24.666129032258066,Summer
Albury,2011,February,22.62142857142857,Summer
Albury,2011,March,19.366129032258065,Autumn
Albury,2011,April,23.239354838709676,Autumn
Albury,2011,May,10.111290322580645,Autumn
Albury,2011,June,8.643333333333333,Winter
Albury,2011,July,8.051612903225806,Winter
Albury,2011,August,10.15,Winter
Albury,2011,September,11.925,Spring
Albury,2011,October,15.233870967741936,Spring
Albury,2011,November,20.068333333333335,Spring
Albury,2011,December,20.8,Summer
Albury,2012,January,23.88225806451613,Summer
Albury,2012,February,22.163793103448278,Summer
Albury,2012,March,18.769354838709678,Autumn
Albury,2012,April,15.668333333333333,Autumn
Albury,2012,May,10.085483870967742,Autumn
Albury,2012,June,8.018333333333333,Winter
Albury,2012,July,8.316129032258065,Winter
Albury,2012,August,8.567741935483872,Winter
Albury,2012,September,11.66,Spring
Albury,2012,October,14,Spring
Albury,2012,November,19.743333333333332,Spring
Albury,2012,December,24.679166666666667,Summer
Albury,2012,December,24.679166666666667,Summer
Albury,2013,January,25.629032258064516,Summer
Albury,2013,February,20.503225806451614,Summer
Albury,2013,March,21.091935483870966,Autumn
Albury,2013,April,15.936666666666667,Autumn
Albury,2013,May,10.883333333333333,Autumn
Albury,2013,June,8.833333333333334,Winter
Albury,2013,July,9.808064516129033,Winter
Albury,2013,August,10.379032258064516,Winter
Albury,2013,September,13.591666666666667,Spring
Albury,2013,October,14.295,Spring
Albury,2013,November,18.108333333333334,Spring
Albury,2013,December,22.72741935483871,Summer
Albury,2014,January,25.425806451612903,Summer
Albury,2014,February,24.946428571428573,Summer
Albury,2014,March,21.233870967741936,Autumn
Albury,2014,April,16.341666666666665,Autumn
Albury,2014,May,12.630645161290323,Autumn
Albury,2014,June,9.943333333333333,Winter
Albury,2014,July,8.514516129032257,Winter
Albury,2014,August,8.820967741935483,Winter
Albury,2014,September,12.153703703703703,Spring
Albury,2014,October,16.606451612903225,Spring
Albury,2014,November,20.373333333333335,Spring
Albury,2014,December,22.393548387096775,Summer
Albury,2015,January,23.475806451612904,Summer
Albury,2015,February,25,Summer
Albury,2015,March,19.83225806451613,Autumn
Albury,2015,April,15.983333333333333,Autumn
Albury,2015,May,11.388709677419355,Autumn
Albury,2015,June,7.848333333333334,Winter
Albury,2015,July,7.638709677419355,Winter
Albury,2015,August,8.662903225806451,Winter
Albury,2015,September,11.691666666666666,Spring
Albury,2015,October,18.975806451612904,Spring
Albury,2015,November,20.60333333333333,Spring
Albury,2015,December,23.501612903225805,Summer
Albury,2016,January,24.456451612903226,Summer
Albury,2016,February,24.329310344827586,Summer
Albury,2016,March,23.29032258064516,Autumn
Albury,2016,April,17.580000000000002,Autumn
Albury,2016,May,13.069354838709678,Autumn
Albury,2016,June,9.5,Winter
Albury,2016,July,9.51774193548387,Winter
Albury,2016,August,9.625806451612902,Winter
Albury,2016,September,12.213333333333333,Spring
Albury,2016,October,13.61774193548387,Spring
Albury,2016,November,18.17,Spring
Albury,2016,December,22.677419354838708,Summer
Albury,2017,January,25.298387096774192,Summer
Albury,2017,February,23.239285714285714,Summer
Albury,2017,March,23.06774193548387,Autumn
Albury,2017,April,15.516666666666666,Autumn
Albury,2017,May,11.417741935483871,Autumn
Albury,2017,June,7.972,Winter
AliceSprings,2008,December,27.77258064516129,Summer
AliceSprings,2009,January,29.240322580645163,Summer
AliceSprings,2009,February,28.642857142857142,Summer
AliceSprings,2009,March,27.470967741935485,Autumn
AliceSprings,2009,April,21.181666666666665,Autumn
AliceSprings,2009,May,14.437096774193549,Autumn
AliceSprings,2009,June,13.58,Winter
AliceSprings,2009,July,12.933870967741935,Winter
AliceSprings,2009,August,19.232258064516127,Winter
AliceSprings,2009,September,22.04,Spring
AliceSprings,2009,October,22.020967741935483,Spring
AliceSprings,2009,November,27.345,Spring
AliceSprings,2009,December,27.887096774193548,Summer
AliceSprings,2010,January,28.346774193548388,Summer
AliceSprings,2010,February,27.805357142857144,Summer
AliceSprings,2010,March,23.753225806451614,Autumn
AliceSprings,2010,April,21.43166666666667,Autumn
AliceSprings,2010,May,15.480645161290322,Autumn
AliceSprings,2010,June,11.11,Winter
AliceSprings,2010,July,12.153225806451612,Winter
AliceSprings,2010,August,12.8,Winter
AliceSprings,2010,September,16.236666666666668,Spring
AliceSprings,2010,October,19.24516129032258,Spring
AliceSprings,2010,November,22.21,Spring
AliceSprings,2010,December,26.066129032258065,Summer
AliceSprings,2011,January,29.82741935483871,Summer
AliceSprings,2011,February,27.510714285714286,Summer
AliceSprings,2011,March,23.34516129032258,Autumn
AliceSprings,2011,April,18.676129032258064,Autumn
AliceSprings,2011,May,13.266129032258064,Autumn
AliceSprings,2011,June,10.98,Winter
AliceSprings,2011,July,12.001612903225807,Winter
AliceSprings,2011,August,15.219354838709677,Winter
AliceSprings,2011,September,18.403333333333332,Spring
AliceSprings,2011,October,23.333870967741934,Spring
AliceSprings,2011,November,25.14666666666667,Spring
AliceSprings,2011,December,27.730645161290322,Summer
AliceSprings,2012,January,29.56290322580645,Summer
AliceSprings,2012,February,26.78965517241379,Summer
AliceSprings,2012,March,22.37741935483871,Autumn
AliceSprings,2012,April,20.43,Autumn
AliceSprings,2012,May,13.906451612903226,Autumn
AliceSprings,2012,June,11.01,Winter
AliceSprings,2012,July,9.391935483870968,Winter
AliceSprings,2012,August,14.553225806451612,Winter
AliceSprings,2012,September,19.515,Spring
AliceSprings,2012,October,23.44516129032258,Spring
AliceSprings,2012,November,28.48,Spring
AliceSprings,2012,December,32.751999999999995,Summer
AliceSprings,2012,December,32.751999999999995,Summer
AliceSprings,2013,January,30.919354838709676,Summer
AliceSprings,2013,February,37.10322580645161,Summer
AliceSprings,2013,March,27.051612903225806,Autumn
AliceSprings,2013,April,21.548333333333332,Autumn
AliceSprings,2013,May,17.546774193548387,Autumn
AliceSprings,2013,June,13.241666666666667,Winter
AliceSprings,2013,July,12.774193548387096,Winter
AliceSprings,2013,August,16.808064516129033,Winter
AliceSprings,2013,September,23.338333333333335,Spring
AliceSprings,2013,October,23.211290322580645,Spring
AliceSprings,2013,November,26.748333333333335,Spring
AliceSprings,2013,December,27.824193548387097,Summer
AliceSprings,2014,January,29.088709677419356,Summer
AliceSprings,2014,February,26.955357142857142,Summer
AliceSprings,2014,March,26.06290322580645,Autumn
AliceSprings,2014,April,21.445,Autumn
AliceSprings,2014,May,17.851612903225806,Autumn
AliceSprings,2014,June,11.526666666666667,Winter
AliceSprings,2014,July,12.053225806451614,Winter
AliceSprings,2014,August,11.774193548387096,Winter
AliceSprings,2014,September,19.865,Spring
AliceSprings,2014,October,24.52741935483871,Spring
AliceSprings,2014,November,27.610344827586207,Spring
AliceSprings,2014,December,29.362903225806452,Summer
AliceSprings,2015,January,26.56,Summer
AliceSprings,2015,February,28.707142857142856,Summer
AliceSprings,2015,March,26.10483870967742,Autumn
AliceSprings,2015,April,18.575,Autumn
AliceSprings,2015,May,14.853225806451613,Autumn
AliceSprings,2015,June,12.996666666666666,Winter
AliceSprings,2015,July,10.9,Winter
AliceSprings,2015,August,14.464516129032258,Winter
AliceSprings,2015,September,16.605,Spring
AliceSprings,2015,October,25.496774193548386,Spring
AliceSprings,2015,November,27.968333333333334,Spring
AliceSprings,2015,December,28.120967741935484,Summer
AliceSprings,2016,January,27.506451612903227,Summer
AliceSprings,2016,February,28.91896551724138,Summer
AliceSprings,2016,March,27.69516129032258,Autumn
AliceSprings,2016,April,22.403333333333332,Autumn
AliceSprings,2016,May,18.280645161290323,Autumn
AliceSprings,2016,June,14.571666666666667,Winter
AliceSprings,2016,July,12.816129032258065,Winter
AliceSprings,2016,August,14.424193548387096,Winter
AliceSprings,2016,September,17.258333333333333,Spring
AliceSprings,2016,October,21.330645161290324,Spring
AliceSprings,2016,November,26.291666666666668,Spring
AliceSprings,2016,December,28.016129032258064,Summer
AliceSprings,2017,January,29.453225806451613,Summer
AliceSprings,2017,February,28.676785714285714,Summer
AliceSprings,2017,March,28.13225806451613,Autumn
AliceSprings,2017,April,20.423333333333332,Autumn
AliceSprings,2017,May,16.474193548387095,Autumn
AliceSprings,2017,June,10.864583333333334,Winter
BadgerysCreek,2009,January,24.467741935483872,Summer
BadgerysCreek,2009,February,22.948214285714286,Summer
BadgerysCreek,2009,March,20.87741935483871,Autumn
BadgerysCreek,2009,April,17.305,Autumn
BadgerysCreek,2009,May,14.312903225806451,Autumn
BadgerysCreek,2009,June,11.769642857142857,Winter
BadgerysCreek,2009,July,10.727419354838709,Winter
BadgerysCreek,2009,August,12.520967741935484,Winter
BadgerysCreek,2009,September,15.558333333333334,Spring
BadgerysCreek,2009,October,16.646428571428572,Spring
BadgerysCreek,2009,November,22.71666666666667,Spring
BadgerysCreek,2009,December,22.961666666666666,Summer
BadgerysCreek,2010,January,24.46,Summer
BadgerysCreek,2010,February,23.53035714285714,Summer
BadgerysCreek,2010,March,21.398333333333333,Autumn
BadgerysCreek,2010,April,18.356896551724137,Autumn
BadgerysCreek,2010,May,13.853703703703703,Autumn
BadgerysCreek,2010,June,11.468333333333334,Winter
BadgerysCreek,2010,July,11.220967741935484,Winter
BadgerysCreek,2010,August,11.57741935483871,Winter
BadgerysCreek,2010,September,14.45,Spring
BadgerysCreek,2010,October,17.009677419354837,Spring
BadgerysCreek,2010,November,19.535,Spring
BadgerysCreek,2010,December,21.490322580645163,Summer
BadgerysCreek,2011,January,24.211290322580645,Summer
BadgerysCreek,2011,February,24.601785714285715,Summer
BadgerysCreek,2011,March,21.729032258064517,Autumn
BadgerysCreek,2011,April,17.383225806451616,Autumn
BadgerysCreek,2011,May,12.980645161290322,Autumn
BadgerysCreek,2011,June,11.58,Winter
BadgerysCreek,2011,July,10.519354838709678,Winter
BadgerysCreek,2011,August,12.404838709677419,Winter
BadgerysCreek,2011,September,14.955,Spring
BadgerysCreek,2011,October,16.717741935483872,Spring
BadgerysCreek,2011,November,21.153333333333332,Spring
BadgerysCreek,2011,December,18.862903225806452,Summer
BadgerysCreek,2012,January,22.129032258064516,Summer
BadgerysCreek,2012,February,21.56551724137931,Summer
BadgerysCreek,2012,March,19.99516129032258,Autumn
BadgerysCreek,2012,April,17.801666666666666,Autumn
BadgerysCreek,2012,May,12.996774193548386,Autumn
BadgerysCreek,2012,June,11.185,Winter
BadgerysCreek,2012,July,10.567741935483872,Winter
BadgerysCreek,2012,August,11.662903225806451,Winter
BadgerysCreek,2012,September,14.885,Spring
BadgerysCreek,2012,October,17.31935483870968,Spring
BadgerysCreek,2012,November,20.326666666666668,Spring
BadgerysCreek,2012,December,25.408333333333335,Summer
BadgerysCreek,2012,December,25.408333333333335,Summer
BadgerysCreek,2013,January,24.580645161290324,Summer
BadgerysCreek,2013,February,19.66451612903226,Summer
BadgerysCreek,2013,March,21.39516129032258,Autumn
BadgerysCreek,2013,April,17.558333333333334,Autumn
BadgerysCreek,2013,May,13.908064516129032,Autumn
BadgerysCreek,2013,June,12.185,Winter
BadgerysCreek,2013,July,11.279032258064516,Winter
BadgerysCreek,2013,August,12.826666666666666,Winter
BadgerysCreek,2013,September,16.965,Spring
BadgerysCreek,2013,October,18.69516129032258,Spring
BadgerysCreek,2013,November,19.71666666666667,Spring
BadgerysCreek,2013,December,22.666129032258066,Summer
BadgerysCreek,2014,January,23.54032258064516,Summer
BadgerysCreek,2014,February,22.71607142857143,Summer
BadgerysCreek,2014,March,21.506451612903227,Autumn
BadgerysCreek,2014,April,18.365,Autumn
BadgerysCreek,2014,May,15.235483870967743,Autumn
BadgerysCreek,2014,June,12.392307692307693,Winter
BadgerysCreek,2014,July,10.858064516129032,Winter
BadgerysCreek,2014,August,12.091935483870968,Winter
BadgerysCreek,2014,September,15.155000000000001,Spring
BadgerysCreek,2014,October,18.846774193548388,Spring
BadgerysCreek,2014,November,21.895,Spring
BadgerysCreek,2014,December,22.798387096774192,Summer
BadgerysCreek,2015,January,23.743548387096773,Summer
BadgerysCreek,2015,February,22.696428571428573,Summer
BadgerysCreek,2015,March,21.03709677419355,Autumn
BadgerysCreek,2015,April,17.543333333333333,Autumn
BadgerysCreek,2015,May,14.138709677419355,Autumn
BadgerysCreek,2015,June,11.746666666666666,Winter
BadgerysCreek,2015,July,9.832258064516129,Winter
BadgerysCreek,2015,August,11.841935483870968,Winter
BadgerysCreek,2015,September,14.366666666666667,Spring
BadgerysCreek,2015,October,19.72258064516129,Spring
BadgerysCreek,2015,November,21.46153846153846,Spring
BadgerysCreek,2015,December,22.543548387096774,Summer
BadgerysCreek,2016,January,22.917241379310344,Summer
BadgerysCreek,2016,February,23.63448275862069,Summer
BadgerysCreek,2016,March,22.938709677419354,Autumn
BadgerysCreek,2016,April,19.743333333333332,Autumn
BadgerysCreek,2016,May,15.164516129032258,Autumn
BadgerysCreek,2016,June,12.613333333333333,Winter
BadgerysCreek,2016,July,12.053225806451612,Winter
BadgerysCreek,2016,August,11.94032258064516,Winter
BadgerysCreek,2016,September,14.766666666666667,Spring
BadgerysCreek,2016,October,17.03709677419355,Spring
BadgerysCreek,2016,November,21.485,Spring
BadgerysCreek,2016,December,25.065384615384616,Summer
BadgerysCreek,2017,January,26.43064516129032,Summer
BadgerysCreek,2017,February,25.107142857142858,Summer
BadgerysCreek,2017,March,22.05,Autumn
BadgerysCreek,2017,April,17.205,Autumn
BadgerysCreek,2017,May,14.37258064516129,Autumn
BadgerysCreek,2017,June,12.766,Winter
Ballarat,2008,December,15.074193548387097,Summer
Ballarat,2009,January,19.498387096774195,Summer
Ballarat,2009,February,19.605357142857144,Summer
Ballarat,2009,March,16.440322580645162,Autumn
Ballarat,2009,April,12.175,Autumn
Ballarat,2009,May,10.22258064516129,Autumn
Ballarat,2009,June,7.7683333333333335,Winter
Ballarat,2009,July,7.108064516129033,Winter
Ballarat,2009,August,8.366129032258064,Winter
Ballarat,2009,September,9.555,Spring
Ballarat,2009,October,11.288709677419355,Spring
Ballarat,2009,November,18.148333333333333,Spring
Ballarat,2009,December,16.81774193548387,Summer
Ballarat,2010,January,18.970967741935485,Summer
Ballarat,2010,February,20.369642857142857,Summer
Ballarat,2010,March,17.316129032258065,Autumn
Ballarat,2010,April,14.126666666666667,Autumn
Ballarat,2010,May,9.656451612903226,Autumn
Ballarat,2010,June,6.491666666666667,Winter
Ballarat,2010,July,6.746774193548387,Winter
Ballarat,2010,August,6.693548387096774,Winter
Ballarat,2010,September,8.651666666666667,Spring
Ballarat,2010,October,11.561290322580646,Spring
Ballarat,2010,November,13.986666666666666,Spring
Ballarat,2010,December,15.648387096774194,Summer
Ballarat,2011,January,18.633870967741935,Summer
Ballarat,2011,February,17.66296296296296,Summer
Ballarat,2011,March,15.014516129032257,Autumn
Ballarat,2011,April,18.017419354838708,Autumn
Ballarat,2011,May,8.858064516129032,Autumn
Ballarat,2011,June,7.76,Winter
Ballarat,2011,July,7.190322580645161,Winter
Ballarat,2011,August,8.522580645161291,Winter
Ballarat,2011,September,9.625,Spring
Ballarat,2011,October,12.040322580645162,Spring
Ballarat,2011,November,15.466666666666667,Spring
Ballarat,2011,December,16.48709677419355,Summer
Ballarat,2012,January,19.54193548387097,Summer
Ballarat,2012,February,19.03103448275862,Summer
Ballarat,2012,March,15.148387096774194,Autumn
Ballarat,2012,April,12.941666666666666,Autumn
Ballarat,2012,May,9.091935483870968,Autumn
Ballarat,2012,June,7.256666666666667,Winter
Ballarat,2012,July,7.201612903225806,Winter
Ballarat,2012,August,7.169354838709678,Winter
Ballarat,2012,September,9.656666666666666,Spring
Ballarat,2012,October,11.345161290322581,Spring
Ballarat,2012,November,15.015,Spring
Ballarat,2012,December,17.26725,Summer
Ballarat,2012,December,17.26725,Summer
Ballarat,2013,January,19.038709677419355,Summer
Ballarat,2013,February,22.846451612903227,Summer
Ballarat,2013,March,18.138709677419357,Autumn
Ballarat,2013,April,13.209999999999999,Autumn
Ballarat,2013,May,9.67741935483871,Autumn
Ballarat,2013,June,7.484999999999999,Winter
Ballarat,2013,July,7.533870967741936,Winter
Ballarat,2013,August,8.26290322580645,Winter
Ballarat,2013,September,10.945,Spring
Ballarat,2013,October,11.011290322580646,Spring
Ballarat,2013,November,13.116666666666667,Spring
Ballarat,2013,December,16.23709677419355,Summer
Ballarat,2014,January,20.583870967741937,Summer
Ballarat,2014,February,20.198214285714286,Summer
Ballarat,2014,March,17.10967741935484,Autumn
Ballarat,2014,April,13.335,Autumn
Ballarat,2014,May,10.838709677419354,Autumn
Ballarat,2014,June,8.45,Winter
Ballarat,2014,July,6.6322580645161295,Winter
Ballarat,2014,August,7.429032258064517,Winter
Ballarat,2014,September,10.209999999999999,Spring
Ballarat,2014,October,12.77741935483871,Spring
Ballarat,2014,November,15.046666666666667,Spring
Ballarat,2014,December,17.10483870967742,Summer
Ballarat,2015,January,18.137096774193548,Summer
Ballarat,2015,February,20.205357142857142,Summer
Ballarat,2015,March,14.841935483870968,Autumn
Ballarat,2015,April,11.85,Autumn
Ballarat,2015,May,9.501612903225807,Autumn
Ballarat,2015,June,6.885,Winter
Ballarat,2015,July,5.872580645161291,Winter
Ballarat,2015,August,7.062903225806451,Winter
Ballarat,2015,September,9.148333333333333,Spring
Ballarat,2015,October,15.635483870967741,Spring
Ballarat,2015,November,15.421666666666667,Spring
Ballarat,2015,December,19.761290322580646,Summer
Ballarat,2016,January,20.06774193548387,Summer
Ballarat,2016,February,19.29310344827586,Summer
Ballarat,2016,March,18.66774193548387,Autumn
Ballarat,2016,April,14.5,Autumn
Ballarat,2016,May,11.006451612903225,Autumn
Ballarat,2016,June,7.238333333333333,Winter
